Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),7.5%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),12.0%,±0.4,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),12.0%,±1.0,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),4.1%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),5.4%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),4.6%,±0.7,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),22.1%,±0.9,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),30.7%,±1.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),39.2%,±3.1,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),12.1%,±0.2,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),14.0%,±0.5,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),13.5%,±0.5,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),15.3%,±0.9,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),12.9%,±0.5,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),11.6%,±0.2,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),12.5%,±0.2,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),8.5%,±0.2,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),8.0%,±0.3,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oregon,(X),(X),24.9%,±0.4,2021
EMPLOYMENT STATUS,Header,Pennsylvania,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Pennsylvania,"10,587,037","±2,689","10,587,037",(X),2021
        In labor force,EMPLOYMENT STATUS,Pennsylvania,"6,671,309","±12,439",63.0%,±0.1,2021
            Civilian labor force,EMPLOYMENT STATUS,Pennsylvania,"6,662,890","±12,652",62.9%,±0.1,2021
                Employed,EMPLOYMENT STATUS,Pennsylvania,"6,295,594","±13,911",59.5%,±0.1,2021
                Unemployed,EMPLOYMENT STATUS,Pennsylvania,"367,296","±5,204",3.5%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Pennsylvania,"8,419",±761,0.1%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Pennsylvania,"3,915,728","±12,376",37.0%,±0.1,2021
    Civilian labor force,EMPLOYMENT STATUS,Pennsylvania,"6,662,890","±12,652","6,662,890",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Pennsylvania,(X),(X),5.5%,±0.1,2021
Females 16 years and over,EMPLOYMENT STATUS,Pennsylvania,"5,414,620","±2,119","5,414,620",(X),2021
        In labor force,EMPLOYMENT STATUS,Pennsylvania,"3,186,445","±8,006",58.8%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Pennsylvania,"3,185,319","±8,024",58.8%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Pennsylvania,"3,017,484","±8,412",55.7%,±0.2,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Pennsylvania,"811,973","±3,166","811,973",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Pennsylvania,"568,261","±5,248",70.0%,±0.6,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Pennsylvania,"1,760,268","±4,123","1,760,268",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Pennsylvania,"1,303,481","±6,351",74.1%,±0.4,2021
COMMUTING TO WORK,Header,Pennsylvania,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Pennsylvania,"6,173,679","±14,287","6,173,679",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Pennsylvania,"4,484,148","±15,083",72.6%,±0.2,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Pennsylvania,"490,815","±6,522",8.0%,±0.1,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Pennsylvania,"289,938","±5,057",4.7%,±0.1,2021
        Walked,COMMUTING TO WORK,Pennsylvania,"206,977","±4,132",3.4%,±0.1,2021
        Other means,COMMUTING TO WORK,Pennsylvania,"99,174","±2,346",1.6%,±0.1,2021
        Worked from home,COMMUTING TO WORK,Pennsylvania,"602,627","±7,178",9.8%,±0.1,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Pennsylvania,26.9,±0.1,(X),(X),2021
OCCUPATION,Header,Pennsylvania,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Pennsylvania,"6,295,594","±13,911","6,295,594",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Pennsylvania,"2,558,273","±15,127",40.6%,±0.2,2021
        Service occupations,OCCUPATION,Pennsylvania,"1,050,891","±9,648",16.7%,±0.2,2021
        Sales and office occupations,OCCUPATION,Pennsylvania,"1,288,223","±8,456",20.5%,±0.1,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Pennsylvania,"500,145","±5,381",7.9%,±0.1,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Pennsylvania,"898,062","±6,751",14.3%,±0.1,2021
INDUSTRY,Header,Pennsylvania,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Pennsylvania,"6,295,594","±13,911","6,295,594",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Pennsylvania,"77,363","±2,899",1.2%,±0.1,2021
        Construction,INDUSTRY,Pennsylvania,"377,591","±4,312",6.0%,±0.1,2021
        Manufacturing,INDUSTRY,Pennsylvania,"733,877","±5,787",11.7%,±0.1,2021
        Wholesale trade,INDUSTRY,Pennsylvania,"162,512","±3,198",2.6%,±0.1,2021
        Retail trade,INDUSTRY,Pennsylvania,"688,467","±6,510",10.9%,±0.1,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Pennsylvania,"368,945","±4,948",5.9%,±0.1,2021
        Information,INDUSTRY,Pennsylvania,"100,607","±2,437",1.6%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Pennsylvania,"414,695","±4,801",6.6%,±0.1,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Pennsylvania,"680,368","±6,145",10.8%,±0.1,2021
"        Educational services, and health care and social assistance",INDUSTRY,Pennsylvania,"1,651,190","±10,147",26.2%,±0.1,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Pennsylvania,"492,748","±6,040",7.8%,±0.1,2021
"        Other services, except public administration",INDUSTRY,Pennsylvania,"295,128","±4,746",4.7%,±0.1,2021
        Public administration,INDUSTRY,Pennsylvania,"252,103","±4,011",4.0%,±0.1,2021
CLASS OF WORKER,Header,Pennsylvania,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Pennsylvania,"6,295,594","±13,911","6,295,594",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Pennsylvania,"5,283,834","±13,635",83.9%,±0.1,2021
        Government workers,CLASS OF WORKER,Pennsylvania,"687,533","±7,149",10.9%,±0.1,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Pennsylvania,"314,254","±4,476",5.0%,±0.1,2021
        Unpaid family workers,CLASS OF WORKER,Pennsylvania,"9,973",±800,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Pennsylvania,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"5,147,783","±8,001","5,147,783",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"275,900","±4,796",5.4%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"206,667","±3,295",4.0%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"418,904","±5,015",8.1%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"433,184","±5,331",8.4%,±0.1,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"596,390","±6,493",11.6%,±0.1,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"879,398","±6,630",17.1%,±0.1,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"679,745","±6,193",13.2%,±0.1,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"845,598","±7,198",16.4%,±0.1,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"380,936","±4,575",7.4%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"431,061","±4,452",8.4%,±0.1,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"67,587",±271,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"92,849",±391,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"3,900,955","±8,478",75.8%,±0.1,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"96,049",±445,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"1,796,978","±5,793",34.9%,±0.1,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"21,415",±60,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"1,274,790","±7,080",24.8%,±0.1,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"25,816",±230,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"287,995","±4,110",5.6%,±0.1,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"10,595",±84,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"169,145","±3,706",3.3%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"2,857",±77,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"689,731","±6,883",13.4%,±0.1,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"3,270,091","±9,514","3,270,091",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"101,418","±2,703",3.1%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"63,260","±2,066",1.9%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"149,250","±3,137",4.6%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"202,896","±3,509",6.2%,±0.1,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"331,189","±4,673",10.1%,±0.1,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"556,747","±5,276",17.0%,±0.2,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"490,363","±5,320",15.0%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"674,649","±5,947",20.6%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"324,843","±3,867",9.9%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"375,476","±4,477",11.5%,±0.1,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"86,142",±457,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"111,872",±546,(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"37,725",±165,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"1,877,692","±7,683","1,877,692",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"38,724",±277,(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"55,986",±507,(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"39,305",±166,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"59,694",±277,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Pennsylvania,"47,442",±261,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Pennsylvania,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Pennsylvania,"12,771,301",±758,"12,771,301",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"12,053,542","±12,598",94.4%,±0.1,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Pennsylvania,"9,236,368","±27,346",72.3%,±0.2,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"4,734,282","±19,704",37.1%,±0.2,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"717,759","±12,660",5.6%,±0.1,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Pennsylvania,"2,877,751","±2,454","2,877,751",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"132,019","±4,712",4.6%,±0.2,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Pennsylvania,"7,606,708","±2,812","7,606,708",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Pennsylvania,"6,025,893","±11,315","6,025,893",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Pennsylvania,"5,708,055","±12,246","5,708,055",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"5,330,006","±15,494",93.4%,±0.1,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Pennsylvania,"4,885,640","±17,018",85.6%,±0.2,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"597,639","±6,774",10.5%,±0.1,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"378,049","±6,590",6.6%,±0.1,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Pennsylvania,"317,838","±5,131","317,838",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"259,382","±4,620",81.6%,±0.8,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Pennsylvania,"141,116","±2,978",44.4%,±0.8,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"130,484","±3,578",41.1%,±0.9,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"58,456","±2,783",18.4%,±0.8,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Pennsylvania,"1,580,815","±10,912","1,580,815",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"1,441,651","±10,408",91.2%,±0.2,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Pennsylvania,"855,333","±7,461",54.1%,±0.4,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"723,212","±9,131",45.7%,±0.4,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Pennsylvania,"139,164","±3,749",8.8%,±0.2,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Pennsylvania,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Pennsylvania,(X),(X),8.0%,±0.1,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Pennsylvania,(X),(X),13.4%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Pennsylvania,(X),(X),12.3%,±0.5,2021
